Кількість векторів;Кратність вектора;fi;Кількість проходів;Кількість відмов;Кількість відновлень;Не відновлено;q без відновлень;q із відновленням
23;error 1;f0;22;1;1;0;1.294108e-04;0.000000e+00
23;error 1;f1;22;1;0;1;1.692363e-04;1.692363e-04
23;error 1;f2;21;2;0;2;1.931250e-04;1.931250e-04
23;error 1;f3;20;3;0;3;6.113427e-04;6.113427e-04
253;error 2;f0;228;25;16;9;7.930333e-07;3.640434e-07
253;error 2;f1;229;24;0;24;9.384282e-07;9.384282e-07
253;error 2;f2;209;44;0;44;1.044861e-06;1.044861e-06
253;error 2;f3;190;63;0;63;2.566752e-06;2.566752e-06
886;error 3;f0;735;151;59;92;1.134131e-09;7.748331e-10
886;error 3;f1;741;145;0;145;1.022121e-09;1.022121e-09
886;error 3;f2;656;230;0;230;1.132959e-09;1.132959e-09
886;error 3;f3;566;320;0;320;2.369045e-09;2.369045e-09
886;error 4;f0;682;204;59;145;3.141325e-13;2.544406e-13
886;error 4;f1;699;187;0;187;3.434807e-13;3.434807e-13
886;error 4;f2;575;311;0;311;3.723133e-13;3.723133e-13
886;error 4;f3;492;394;0;394;5.559225e-13;5.559225e-13